exp_id	symbol	n_estimators	max_depth	min_samples_leaf	lookforward_bars	conf_threshold	num_trades	win_rate	sharpe	return_dd_ratio	total_return_pct	max_dd_pct	profit_factor	avg_hold_h1_bars	train_auc	test_auc	status	elapsed_s
RF_USDCAD_h6_n200_d8_c55	USDCAD	200	8	20	6	0.55	1108	0.3546931407942238	-8.414319006849182	-1.0023785978171245	-36.590969988668576	36.50414131781402	0.4549339552253982	6.0	0.6852078542152293	0.5490385723946035	OK	545.5
RF_EURCAD_h24_n200_d8_c50	EURCAD	200	8	20	24	0.5	517	0.41005802707930367	-2.947319021238566	-0.9798699422357331	-29.735644426287212	30.346521660252673	0.6152746728730805	24.0	0.7290092294675282	0.48667071875361384	OK	606.7
RF_EURCAD_h6_n200_d8_c55	EURCAD	200	8	20	6	0.55	1480	0.2628378378378378	-14.6263100052798	-0.999538324891928	-64.24321098533277	64.27288417608085	0.2678215232424916	6.0	0.686194392664093	0.5811139765329153	OK	608.7
RF_EURCAD_h6_n200_d8_c60	EURCAD	200	8	20	6	0.6	851	0.2209165687426557	-19.412273717986643	-0.9923686489588567	-41.376169125024056	41.694353372039565	0.19502518153262172	6.0	0.686194392664093	0.5811139765329153	OK	609.2
RF_EURCAD_h6_n200_d8_c50	EURCAD	200	8	20	6	0.5	2070	0.29082125603864734	-11.113525683264536	-0.9996962978312246	-73.20224223531103	73.22448066889763	0.3730039504153838	6.0	0.686194392664093	0.5811139765329153	OK	611.0
RF_EURCAD_h24_n200_d8_c55	EURCAD	200	8	20	24	0.55	122	0.4016393442622951	-4.146436615355975	-0.9339704673237846	-8.775929481317268	9.396367217545937	0.5026350490168975	24.0	0.7290092294675282	0.48667071875361384	OK	444.2
RF_EURCAD_h24_n200_d8_c60	EURCAD	200	8	20	24	0.6	28	0.35714285714285715	-5.716035436893392	-0.7630167034650011	-1.803069807978963	2.3630803883989526	0.37782424065213654	24.0	0.7290092294675282	0.48667071875361384	OK	570.2
RF_EURCAD_h6_n300_d12_c50	EURCAD	300	12	15	6	0.5	2070	0.28888888888888886	-11.332543717166955	-0.9997067193936122	-73.88183454561711	73.9035090115542	0.36423678024217526	6.0	0.8567049755728502	0.5796584154931944	OK	803.3
RF_EURCAD_h6_n300_d12_c55	EURCAD	300	12	15	6	0.55	1590	0.2723270440251572	-14.227031737717303	-0.999518641502917	-66.53039330766192	66.56243370071029	0.2812122285374569	6.0	0.8567049755728502	0.5796584154931944	OK	819.7
RF_EURCAD_h6_n300_d12_c60	EURCAD	300	12	15	6	0.6	1076	0.23884758364312267	-18.046023466633848	-0.9999635948339324	-49.16676821138593	49.168558200912535	0.2138599903823782	6.0	0.8567049755728502	0.5796584154931944	OK	795.1
RF_EURCAD_h24_n300_d12_c50	EURCAD	300	12	15	24	0.5	517	0.42166344294003866	-2.6379900869675468	-0.9718403817622417	-27.114804855749895	27.90047148131725	0.6469839841989095	24.0	0.8984354124429209	0.4899431969748709	OK	833.0
RF_EURCAD_h24_n300_d12_c55	EURCAD	300	12	15	24	0.55	251	0.4342629482071713	-2.586882052064141	-0.8788330653894615	-12.904934433455217	14.684170340969475	0.6488928834193368	24.0	0.8984354124429209	0.4899431969748709	OK	825.4
RF_EURCAD_h24_n300_d12_c60	EURCAD	300	12	15	24	0.6	61	0.39344262295081966	-4.789484152547746	-0.83972715827837	-4.7761391405595095	5.6877273689131025	0.4450894896496026	24.0	0.8984354124429209	0.4899431969748709	OK	824.3
RF_EURCAD_h6_n200_dNone_c50	EURCAD	200	None	30	6	0.5	2070	0.293719806763285	-11.329757710452654	-0.9997065896589383	-73.87329705350452	73.89497860437957	0.3632260582259406	6.0	0.9206132941101439	0.5776039554520274	OK	587.5
